id,timestamp,exchange,front_month_price,next_month_price,contango_pct,backwardation_pct,current_vix,realized_vol,vix_ma_5d,vix_ma_20d,vix_trend_1d,vix_trend_5d,source,created_at
7503,2025-11-28 12:17:25,NSE,11.24,11.264,-0.21306818181817413,0.21306818181817413,11.24,0.029542090586923402,11.264,11.258500000000002,-0.17761989342806014,-0.530973451327438,realtime_snapshot,2025-11-28 12:17:25
7502,2025-11-28 12:17:12,BANKNIFTY_MONTHLY,11.24,11.246,-0.0533523030410833,0.0533523030410833,11.24,0.010106810966891049,11.246,11.276999999999997,0.0,-0.08896797153024721,realtime_snapshot,2025-11-28 12:17:12
7501,2025-11-28 12:17:01,NSE,11.24,11.276,-0.319262149698471,0.319262149698471,11.24,0.029257236304115204,11.276,11.259500000000001,0.17793594306049443,-0.26572187776793055,realtime_snapshot,2025-11-28 12:17:01
7500,2025-11-28 12:16:54,NSE,11.24,11.276,-0.319262149698471,0.319262149698471,11.24,0.031834330525641316,11.276,11.259500000000001,0.17793594306049443,-0.26572187776793055,realtime_snapshot,2025-11-28 12:16:54
7499,2025-11-28 12:16:38,BANKNIFTY_MONTHLY,11.23,11.248000000000001,-0.16002844950213976,0.16002844950213976,11.23,0.026015851793389066,11.248000000000001,11.280499999999998,0.0,-0.6194690265486751,realtime_snapshot,2025-11-28 12:16:38
7498,2025-11-28 12:16:23,NSE,11.23,11.276,-0.4079460801702677,0.4079460801702677,11.23,0.03359106081037953,11.276,11.259500000000001,0.17793594306049443,-0.26572187776793055,realtime_snapshot,2025-11-28 12:16:23
7497,2025-11-28 12:16:04,BANKNIFTY_MONTHLY,11.23,11.262,-0.28414136032676285,0.28414136032676285,11.23,0.025343468589694083,11.262,11.282999999999998,-0.4432624113475083,-0.4432624113475083,realtime_snapshot,2025-11-28 12:16:04
7496,2025-11-28 12:15:53,NSE,11.24,11.276,-0.319262149698471,0.319262149698471,11.24,0.02717858591378003,11.276,11.259500000000001,0.17793594306049443,-0.26572187776793055,realtime_snapshot,2025-11-28 12:15:53
7495,2025-11-28 12:15:29,BANKNIFTY_MONTHLY,11.23,11.272,-0.3726046841731708,0.3726046841731708,11.23,0.03530662110166981,11.272,11.287,0.17761989342806014,0.0,realtime_snapshot,2025-11-28 12:15:29
7494,2025-11-28 12:15:22,NSE,11.25,11.276,-0.23057821922667435,0.23057821922667435,11.25,0.01872912967017827,11.276,11.259500000000001,0.17793594306049443,-0.26572187776793055,realtime_snapshot,2025-11-28 12:15:22
7493,2025-11-28 12:15:16,BSE,11.28,11.285999999999998,-0.05316321105793419,0.05316321105793419,11.28,0.025526645397730353,11.285999999999998,11.269,-0.17714791851195372,-0.17714791851195372,realtime_snapshot,2025-11-28 12:15:16
7492,2025-11-28 12:14:55,BANKNIFTY_MONTHLY,11.28,11.272,0.07097232079488218,-0.07097232079488218,11.28,0.020976821274090552,11.272,11.288,0.17793594306049443,-0.3539823008849639,realtime_snapshot,2025-11-28 12:14:55
7491,2025-11-28 12:14:51,NSE,11.26,11.276,-0.14189428875487775,0.14189428875487775,11.26,0.013454803449811176,11.276,11.259500000000001,0.17793594306049443,-0.26572187776793055,realtime_snapshot,2025-11-28 12:14:51
7490,2025-11-28 12:14:24,NSE,11.26,11.282,-0.19500088636766744,0.19500088636766744,11.26,0.006615928166311501,11.282,11.261500000000002,-0.35460992907800665,-0.530973451327438,realtime_snapshot,2025-11-28 12:14:24
7488,2025-11-28 12:14:21,BANKNIFTY_MONTHLY,11.26,11.28,-0.17730496453900332,0.17730496453900332,11.26,0.01836541256135012,11.28,11.2895,-0.530973451327438,-0.35460992907800665,realtime_snapshot,2025-11-28 12:14:21
7489,2025-11-28 12:14:21,NSE,11.26,11.282,-0.19500088636766744,0.19500088636766744,11.26,0.006815296992786758,11.282,11.261500000000002,-0.35460992907800665,-0.530973451327438,realtime_snapshot,2025-11-28 12:14:21
7487,2025-11-28 12:13:50,NSE,11.24,11.282,-0.3722744194291776,0.3722744194291776,11.24,0.03790547453129047,11.282,11.261500000000002,-0.35460992907800665,-0.530973451327438,realtime_snapshot,2025-11-28 12:13:50
7486,2025-11-28 12:13:49,NSE,11.24,11.294,-0.4781299805206328,0.4781299805206328,11.24,0.038288233560368076,11.294,11.263,-0.1769911504424898,0.17761989342806014,realtime_snapshot,2025-11-28 12:13:49
7485,2025-11-28 12:13:46,BANKNIFTY_MONTHLY,11.24,11.288,-0.4252303330970947,0.4252303330970947,11.24,0.022312200250890816,11.288,11.2895,0.1773049645390191,0.0885739592559926,realtime_snapshot,2025-11-28 12:13:47
7484,2025-11-28 12:13:09,NSE,11.3,11.294,0.05312555339118316,-0.05312555339118316,11.3,0.03692336001748499,11.294,11.263,-0.1769911504424898,0.17761989342806014,realtime_snapshot,2025-11-28 12:13:09
7483,2025-11-28 12:12:38,BANKNIFTY_MONTHLY,11.3,11.286000000000001,0.1240474924685393,-0.1240474924685393,11.3,0.037153299771796634,11.286000000000001,11.286,0.0,-0.08857395925597686,realtime_snapshot,2025-11-28 12:12:38
7482,2025-11-28 12:12:23,NSE,11.3,11.294,0.05312555339118316,-0.05312555339118316,11.3,0.035181841986206656,11.294,11.263,-0.1769911504424898,0.17761989342806014,realtime_snapshot,2025-11-28 12:12:23
7481,2025-11-28 12:12:06,BSE,11.27,11.29,-0.17714791851195372,0.17714791851195372,11.27,0.031101232910474185,11.29,11.267999999999997,0.0,0.0,realtime_snapshot,2025-11-28 12:12:06
7480,2025-11-28 12:11:58,BANKNIFTY_MONTHLY,11.28,11.288,-0.07087172218285698,0.07087172218285698,11.28,0.06874364751091606,11.288,11.285,-0.1769911504424898,-0.1769911504424898,realtime_snapshot,2025-11-28 12:11:58
7479,2025-11-28 12:11:53,NSE,11.28,11.294,-0.12395962457943265,0.12395962457943265,11.28,0.03601013947957395,11.294,11.263,-0.1769911504424898,0.17761989342806014,realtime_snapshot,2025-11-28 12:11:53
7477,2025-11-28 12:11:24,BANKNIFTY_MONTHLY,11.28,11.291999999999998,-0.10626992561104037,0.10626992561104037,11.28,0.05544608922939697,11.291999999999998,11.285,0.1773049645390191,0.0,realtime_snapshot,2025-11-28 12:11:24
7478,2025-11-28 12:11:24,NSE,11.28,11.290000000000001,-0.08857395925599258,0.08857395925599258,11.28,0.03644992341790768,11.290000000000001,11.260000000000002,0.0,0.0,realtime_snapshot,2025-11-28 12:11:24
7476,2025-11-28 12:11:22,NSE,11.29,11.290000000000001,-1.5733895831711693e-14,1.5733895831711693e-14,11.29,0.03609589236182838,11.290000000000001,11.260000000000002,0.0,0.0,realtime_snapshot,2025-11-28 12:11:22
7475,2025-11-28 12:10:51,NSE,11.29,11.290000000000001,-1.5733895831711693e-14,1.5733895831711693e-14,11.29,0.04044296165329127,11.290000000000001,11.260000000000002,0.0,0.0,realtime_snapshot,2025-11-28 12:10:51
